k,xzero,xt,ComponentA,ComponentB,Fatigue
3.6636614081,0.948108782,0.4537530374,0.1448272811,3.1330632875,33.0183656136
3.8182731555,0.8256908296,0.8771046555,0.6424345785,1.3652824504,45.8963733371
3.7613653299,0.1873912981,0.323021761,0.0948813242,3.4044820066,36.99800969
1.9562837383,0.1044904876,0.4888267073,0.5111732927,0.9562837383,0.3843362197
1.6438545395,0.5655374765,0.3916736694,0.6083263306,0.6438545395,0.1738638071
0.7470280254,0.2969812953,0.0,1.0,0.0,0.2969812953
2.5617549257,0.1222274641,0.609642597,0.390357403,1.5617549257,0.6339326613
0.9118463897,0.1255150126,4.9366e-06,0.9999945861,4.9366e-06,0.125510076
0.0141260737,0.4734190658,0.0,1.0,0.0,0.4734190658
0.0209308711,0.1711558232,0.0,1.0,0.0,0.1711558232
2.9519459244,0.3435011197,0.6612062935,0.3387237615,1.952051697,0.5024883685
3.2965522641,0.8952225623,0.8228802972,0.5195330665,1.5838843573,31.5270543613
2.491968041,0.3458751695,0.5987107445,0.4012892555,1.491968041,0.3100105824
3.8447780796,0.0679551255,0.4723106906,0.8565883887,0.5513858194,50.2803082712
2.2857884542,0.2604608983,0.5625141959,0.4374858041,1.2857884542,0.3042514552
1.8571131435,0.1313375574,0.4615298462,0.5384701538,0.8571131435,0.3301922888
3.3269869619,0.2368856112,0.8290488361,0.5284765731,1.5687522934,35.4262371934
2.7520716585,0.211610045,0.6366373685,0.3633626315,1.7520716585,0.8210737285
0.8578304656,0.4223749505,2.04e-08,0.9999999762,2.04e-08,0.4223749301
2.3181025698,0.8996748772,0.5686127038,0.4313872962,1.3181025698,1.0662997282
1.5014868681,0.8386490641,0.3339935092,0.6660064908,0.5014868681,0.7662897426
3.106749905,0.5409838193,0.5543793111,0.2324995233,2.384432033,21.3717971072
2.2486539281,0.5025136448,0.5552895056,0.4447104944,1.2486539281,0.071298932
1.7949206474,0.1052737382,0.4428723067,0.5571276933,0.7949206474,0.3375985684
3.391288164,0.8555090074,0.8407000102,0.5458268045,1.5402321823,38.6582596654
1.3747199005,0.5545071345,0.2725790907,0.7274209093,0.3747199005,0.2819280438
0.1985858174,0.9675778339,0.0,1.0,0.0,0.9675778339
2.2905477858,0.5550411961,0.5634232098,0.4365767902,1.2905477858,0.0148245574
2.1418018266,0.4260096758,0.5331033957,0.4668966043,1.1418018266,0.1097602953
2.6028345889,0.7197026824,0.6158034766,0.3841965234,1.6028345889,0.4619204836
2.4101617824,0.1857098182,0.5850900934,0.4149099066,1.4101617824,0.4313917671
2.1701480286,0.535143496,0.5392019407,0.4607980593,1.1701480286,0.0056387163
3.9992151865,0.5113362434,0.3885503855,0.8909518399,0.4361070577,43.0993877459
3.3738640997,0.1287157404,0.8377079441,0.5413118919,1.5475513409,37.5606679826
2.0980911228,0.2983060701,0.523376278,0.476623722,1.0980911228,0.2263071964
0.131027237,0.8321579065,0.0,1.0,0.0,0.8321579065
0.1073142362,0.1100858892,0.0,1.0,0.0,0.1100858892
3.1816829579,0.3509289564,0.5201731352,0.2058740635,2.5266569585,26.4142002074
3.4048838404,0.5303409539,0.4507377791,0.1570419582,2.8701742146,39.1566300368
2.5850524316,0.9159820032,0.6131606509,0.3868393491,1.5850524316,1.1957474793
3.4174896602,0.6893494682,0.4476194624,0.1550058329,2.8877588291,37.9423049225
2.9791041528,0.2549875171,0.6692994764,0.3408292691,1.9637382619,4.4753313747
1.9239973467,0.1056383672,0.4802487635,0.5197512365,0.9239973467,0.3746103963
2.9435081825,0.5622207114,0.6601071164,0.3395588312,1.9440139843,2.1167157471
2.1954237676,0.0548499195,0.544507072,0.455492928,1.1954237676,0.4990662268
3.381181346,0.93513004,0.4567763028,0.161021684,2.8367378316,38.4265955273
3.1370586059,0.428567222,0.5393669786,0.2205970334,2.4450327839,23.993216358
1.3389532159,0.2403410515,0.2531479157,0.7468520843,0.3389532159,0.0128068643
1.1505262397,0.6823921915,0.1308325188,0.8691674803,0.1505262469,0.5515596728
2.8592703309,0.5966075632,0.6502604102,0.349739565,1.8592703691,0.6061306105
3.2315760652,0.7099571459,0.8078861481,0.498439618,1.6208305256,28.6929802479
3.9919284044,0.3171359948,0.8508728185,0.6919679234,1.2296419961,43.9936667427
1.1263269529,0.8634751288,0.1121583591,0.8878416371,0.1263269871,0.7513167697
0.7207742616,0.7853344971,0.0,1.0,0.0,0.7853344971
0.6830836406,0.2444760295,0.0,1.0,0.0,0.2444760295
0.4530185294,0.4380999113,0.0,1.0,0.0,0.4380999113
2.0782553865,0.668184038,0.5188271824,0.4811728176,1.0782553865,0.265844666
2.2912391842,0.6146622337,0.5635549501,0.4364450499,1.2912391842,0.1073330202
3.2222739229,0.935015492,0.5048470719,0.1945072237,2.5955183681,30.5109326635
2.8452320966,0.9067210281,0.648534819,0.3514651704,1.845232113,1.8804911852
3.4489560095,0.8481792456,0.848456594,0.5632147944,1.5064529598,40.968992216
0.077683581,0.5568647852,0.0,1.0,0.0,0.5568647852
1.0742861433,0.2398562622,0.0691690046,0.9308294142,0.0743090018,0.1706872576
2.3333128804,0.7683307672,0.5714248147,0.4285751853,1.3333128804,0.5137800184
3.2078852096,0.856917585,0.8016449117,0.4899130589,1.636300354,29.0936874778
1.3313880245,0.1302847523,0.248904165,0.751095835,0.3313880245,0.1186194126
0.1718951318,0.6831894849,0.0,1.0,0.0,0.6831894849
2.171934874,0.3778467665,0.5395810381,0.4604189619,1.171934874,0.1694167237
1.1148384633,0.9022138622,0.1030090331,0.8969909705,0.1148384281,0.808511858
2.0027093343,0.2090468407,0.5006764172,0.4993235828,1.0027093343,0.2916299085
1.964037113,0.6931112837,0.4908446519,0.5091553481,0.964037113,0.3484229971
2.2021865747,0.7726208668,0.5459058685,0.4540941315,1.2021865747,0.5537145117
0.7892086493,0.619017599,0.0,1.0,0.0,0.619017599
3.2888564226,0.3590783497,0.4828143072,0.1787572516,2.7009494875,33.3338210133
0.9424777914,0.1915324166,0.0001132498,0.9998798238,0.0001132634,0.1914191668
1.5129684708,0.6876165507,0.3390476938,0.6609523062,0.5129684708,0.376692899
2.9398400452,0.3323111,0.6598614028,0.3401715476,1.9397901074,0.559334164
1.3476214094,0.6606083146,0.2579518305,0.7420481695,0.3476214094,0.4026564841
0.566840808,0.2426415095,0.0,1.0,0.0,0.2426415095
3.7322608076,0.5883661086,0.8213972426,0.672972992,1.2205500849,36.3620372002
2.4815909638,0.1574963438,0.5970327042,0.4029672958,1.4815909638,0.5098428881
3.6600614787,0.6423883597,0.3065088967,0.0922552189,3.3224017057,38.7977409867
0.5837136026,0.0106016838,0.0,1.0,0.0,0.0106016838
0.0982069267,0.3363742421,0.0,1.0,0.0,0.3363742421
0.1298012998,0.1959455056,0.0,1.0,0.0,0.1959455056
2.7662706085,0.5103318525,0.6385024672,0.3614975328,1.7662706085,0.6009710161
0.3933971552,0.8827504186,0.0,1.0,0.0,0.8827504186
0.0484949717,0.5705426895,0.0,1.0,0.0,0.5705426895
3.901510154,0.1861623668,0.7306335683,0.2495392771,2.9279301305,44.1807242444
2.5672732981,0.091293242,0.610481673,0.389518327,1.5672732981,0.6093803574
1.6132437258,0.4386952665,0.3801308606,0.6198691394,0.6132437258,0.0585644059
0.4584012224,0.2476592017,0.0,1.0,0.0,0.2476592017
3.5583363064,0.7173428889,0.3496658847,0.1104703825,3.1652455336,37.8003142166
2.7687301198,0.0297644509,0.6388235918,0.3611764082,1.7687301198,1.0268535966
0.8283241123,0.4755841664,7e-10,0.9999999991,7e-10,0.4755841657
1.4936948911,0.4441690727,0.3305192339,0.6694807661,0.4936948911,0.1136498388
3.2968135663,0.801370941,0.8229353193,0.5196121317,1.5837492413,34.1406647906
