k,x_zero,x_t,Component A,Component B,Fatigue
3.7681803894,0.6580037066,0.934022595,0.5461412211,1.7102217503,43.8000554753
0.4342635149,0.8426794214,0.0,1.0,0.0,0.8426794214
3.0132493643,0.4095471192,0.6267067554,0.2950212235,2.12427685,9.1615408739
2.1956512524,0.7134797881,0.5445542643,0.4554457357,1.1956512524,0.361000225
0.1090722619,0.0023053131,0.0,1.0,0.0,0.0023053131
2.5878627744,0.8843680194,0.6135807471,0.3864192529,1.5878627744,1.1393983725
3.8254799338,0.4868692351,0.9439627671,0.4430499363,2.1306012927,47.7451857578
1.9376784767,0.2673475714,0.4839185076,0.5160814924,0.9376784767,0.2165709362
2.7598046307,0.6177573176,0.6376555105,0.3623444895,1.7598046307,0.1392345478
0.7244729149,0.2363963764,0.0,1.0,0.0,0.2363963764
3.6980014606,0.3444025875,0.9117780078,0.4413456461,2.0659046168,33.4040130703
2.2019450061,0.4582099312,0.5458560513,0.4541439487,1.2019450061,0.0896159183
2.990687263,0.3906948551,0.6542298442,0.3232393882,2.0239793417,4.8090921109
2.6101947548,0.172821747,0.616886825,0.383113175,1.6101947548,0.4635298882
0.0984512214,0.3079011552,0.0,1.0,0.0,0.3079011552
0.6704013481,0.8441711163,0.0,1.0,0.0,0.8441711163
3.8623308791,0.6268732839,0.9654318287,0.4937496104,1.9553065123,48.6864144392
0.8118976712,0.5977445311,1e-10,0.9999999999,1e-10,0.597744531
3.9097771496,0.1218252964,0.9598890655,0.5670080778,1.6929019235,48.6677045347
2.3534408056,0.3015549443,0.5750902264,0.4249097736,1.3534408056,0.3155520359
0.0658583941,0.8709063919,0.0,1.0,0.0,0.8709063919
1.5849036511,0.0076051297,0.3690468192,0.6309531808,0.5849036511,0.3614416895
2.251903353,0.2976052445,0.5559312087,0.4440687913,1.251903353,0.2721487287
3.5500570421,0.3805342519,0.3547572438,0.1126113221,3.1502804249,41.0442311029
3.651477207,0.1941884282,0.8391081604,0.6421279582,1.3067616036,37.8501635446
2.1035848676,0.6142833223,0.5246210336,0.4753789664,1.1035848676,0.1449012809
0.3278509695,0.1644004339,0.0,1.0,0.0,0.1644004339
2.9454562757,0.3136518727,0.6605868756,0.339604209,1.9451669271,1.1877834771
3.8114485509,0.2515091693,0.9432637111,0.449817188,2.0969934815,38.8646486789
0.4726579851,0.7592083981,0.0,1.0,0.0,0.7592083981
3.4923177148,0.859035712,0.8730236338,0.503997056,1.7321998678,41.2099391794
1.2531348161,0.766940638,0.2020012634,0.7979987366,0.2531348161,0.5649393746
0.1537511444,0.1534454921,0.0,1.0,0.0,0.1534454921
0.6451544974,0.9859752529,0.0,1.0,0.0,0.9859752529
2.6278828572,0.0449212249,0.6194655339,0.3805344661,1.6278828572,0.7863501373
0.8833607141,0.0763378264,1.869e-07,0.9999997884,1.869e-07,0.0763376395
1.5838025935,0.5036781962,0.3686081813,0.6313918187,0.5838025935,0.1350700149
1.9569037606,0.3093724662,0.4889886666,0.5110113334,0.9569037606,0.1796162005
0.2199952505,0.1898186661,0.0,1.0,0.0,0.1898186661
1.4038962005,0.1566191219,0.2876966263,0.7123033737,0.4038962005,0.1310775043
3.2314357227,0.8258333889,0.8078505606,0.4983905912,1.6209185625,30.6901989383
2.8883394785,0.0199411768,0.6537805894,0.3462200053,1.8883385688,1.0707138672
1.0143522235,0.4411980312,0.0180621844,0.9818644832,0.0183958018,0.4231358468
0.0339222199,0.8323751914,0.0,1.0,0.0,0.8323751914
0.0245871134,0.8870132588,0.0,1.0,0.0,0.8870132588
3.1295882819,0.7697654169,0.7766397292,0.4571088805,1.6990256861,23.3064893734
2.8094991916,0.5740551752,0.6440646778,0.3559353222,1.8094991917,0.5374198141
0.2197229032,0.8348669716,0.0,1.0,0.0,0.8348669716
1.5495389759,0.8382890923,0.3546467591,0.6453532409,0.5495389759,0.7728233255
0.4756356351,0.9352268963,0.0,1.0,0.0,0.9352268963
1.4757325365,0.6670211277,0.3223704328,0.6776295672,0.4757325365,0.3446506949
0.4004968569,0.1187133822,0.0,1.0,0.0,0.1187133822
2.85105672,0.0175493134,0.6492528532,0.3507471392,1.8510567318,0.8449067568
1.1916334134,0.648088233,0.1608157436,0.8391842564,0.1916334134,0.4872724895
2.6893816756,0.1615576044,0.6281673185,0.3718326815,1.6893816756,0.4900081303
1.3980664158,0.0170402647,0.2847263988,0.7152736012,0.3980664158,0.2676861341
1.1093268428,0.9752837109,0.0985491635,0.9014512359,0.1093227893,1.0203513528
2.6109444088,0.9368738287,0.6169968243,0.3830031757,1.6109444088,1.3303379897
3.7157257942,0.4400818108,0.6292205115,0.2159927235,2.9131560601,35.8604838293
3.8791489935,0.7961096385,0.5274715546,0.1623257499,3.2494632242,47.1140576608
3.4625603602,0.1853261164,0.8377298047,0.5897807981,1.4204087473,40.878004494
2.1834104271,0.4682889095,0.5420009048,0.4579990952,1.1834104271,0.0777822522
2.4320131107,0.2938841246,0.5888180061,0.4111819939,1.4320131107,0.3648188851
0.4353277309,0.9624727215,0.0,1.0,0.0,0.9624727215
3.7582359709,0.777752609,0.2512388607,0.0720399658,3.48749278,37.2938527224
0.1159918131,0.9103306663,0.0,1.0,0.0,0.9103306663
2.8515910955,0.5179230885,0.6493185778,0.3506814062,1.8515911202,0.9820724436
1.2791786705,0.7794944105,0.2182483784,0.7817516216,0.2791786705,0.5612460321
1.6391993879,0.8334388103,0.3899460875,0.6100539125,0.6391993879,0.7682823014
3.9631108953,0.5276336585,0.6556847699,0.2092199978,3.1339488425,46.1260236028
3.6069849724,0.7457337831,0.8283292738,0.6426678314,1.2888917624,40.4900651867
0.4454831266,0.2997932549,0.0,1.0,0.0,0.2997932549
3.6457945078,0.4831872003,0.566186974,0.1922641594,2.9448388914,38.3473502622
0.6443096668,0.1330048004,0.0,1.0,0.0,0.1330048004
3.6046532912,0.8351908793,0.8392064106,0.631103152,1.3297452373,41.5188715641
1.4287348343,0.137201513,0.3000800596,0.6999199404,0.4287348343,0.1628785466
3.5672437494,0.3578982194,0.3441959809,0.1081938418,3.1812899435,41.2024965924
3.0611374841,0.8720039511,0.7447254755,0.4180482046,1.7814344548,13.8379301854
0.6297830922,0.3926377337,0.0,1.0,0.0,0.3926377337
2.1662359507,0.9358669033,0.5383697701,0.4616302299,1.1662359507,1.2197555546
3.672488833,0.4465361094,0.5601732005,0.1878018398,2.9827886736,35.0327971542
0.4201935231,0.1939383949,0.0,1.0,0.0,0.1939383949
2.5458405466,0.7937868642,0.6072024223,0.3927975777,1.5458405466,0.6197518847
2.7179339757,0.5586411474,0.632073476,0.367926524,1.7179339757,0.3567262892
2.4103993197,0.9146476716,0.5851309815,0.4148690185,1.4103993197,1.1530252406
1.5546987415,0.7133242855,0.3567885705,0.6432114295,0.5546987415,0.4342636163
2.4121143984,0.9461862074,0.5854259646,0.4145740354,1.4121143984,1.3366063411
1.5508873441,0.50924327,0.3552078403,0.6447921597,0.5508873441,0.1540354296
0.6596737993,0.6597659814,0.0,1.0,0.0,0.6597659814
1.8862709053,0.6735855974,0.4698534568,0.5301465432,0.8862709053,0.313977679
3.0677359798,0.4023185195,0.5774330847,0.2514597904,2.2963237332,17.0593287859
0.957803251,0.8060624912,0.0004504735,0.9995294591,0.0004506856,0.8056120177
1.9057159842,0.4827191197,0.4752628365,0.5247371635,0.9057159842,0.0074562832
3.4148324906,0.6783200583,0.4482659198,0.1554281664,2.8840713381,38.2819549286
2.7951033017,0.3812694355,0.6422314698,0.3577685302,1.7951033017,0.4323896123
0.4302790393,0.6306903459,0.0,1.0,0.0,0.6306903459
3.6409223642,0.471054765,0.3429636038,0.1052809874,3.2576024627,37.7966739427
2.0295505577,0.6704118174,0.5072800743,0.4927199257,1.0295505577,0.2809987601
3.8845380375,0.8030594527,0.1568987358,0.0421687841,3.7207317915,47.4857590643
1.3787508701,0.5213506986,0.2747058068,0.7252941932,0.3787508701,0.2466448918
2.3198238706,0.6302698642,0.5689327915,0.4310672085,1.3198238706,0.1395194143
1.3318680735,0.4176798701,0.2491748846,0.7508251154,0.3318680735,0.1685049856
0.6111293154,0.3126675428,0.0,1.0,0.0,0.3126675428
1.4216410902,0.2997543464,0.2965875798,0.7034124202,0.4216410902,0.0031667667
1.4593304575,0.8390843967,0.3147542458,0.6852457542,0.4593304575,0.7597558743
2.5388498052,0.5517862783,0.6061208513,0.3938791487,1.5388498052,0.1525446797
0.3202635819,0.2232488187,0.0,1.0,0.0,0.2232488187
3.5157921464,0.8646381919,0.8786055777,0.4901305571,1.7925949829,41.0969070695
1.728228541,0.0852440911,0.4213728241,0.5786271759,0.728228541,0.336128733
3.1246572113,0.0329872094,0.7747589828,0.4547238774,1.7038009688,21.9297731902
0.8780211755,0.2482805977,1.714e-07,0.9999998048,1.714e-07,0.2482804263
0.5675498932,0.3240266382,0.0,1.0,0.0,0.3240266382
1.7673216716,0.0802129106,0.4341720491,0.5658279509,0.7673216716,0.3539591386
1.8078150968,0.1804733869,0.4468460841,0.5531539159,0.8078150968,0.2663726972
2.5970832581,0.1629332597,0.6149526601,0.3850473399,1.5970832581,0.5094606342
1.6844509943,0.3029382765,0.4063347623,0.5936652377,0.6844509943,0.1033964857
2.6827646387,0.9353585656,0.6272501935,0.3727498065,1.6827646387,1.2625863723
1.8437836572,0.4498371214,0.4576370193,0.5423629807,0.8437836572,0.0077998979
2.1274825572,0.9323964392,0.5299608936,0.4700391064,1.1274825572,1.1981721662
2.9537530937,0.5358630761,0.6609687282,0.3380509486,1.9552340584,2.7022884311
1.8226592854,0.5015573745,0.4513511066,0.5486488934,0.8226592854,0.050206268
2.9694092186,0.4703864621,0.6610762102,0.3345577655,1.9759703054,3.7000367568
3.0500047898,0.3788895852,0.5901611131,0.2622924971,2.2500114174,14.3308823177
2.5196386577,0.1846163564,0.6031176943,0.3968823057,1.5196386577,0.4391309813
1.8942566506,0.2952552324,0.4720884313,0.5279115687,0.8942566506,0.1768331988
2.1658355866,0.8501051953,0.5382844357,0.4617155643,1.1658355866,0.83882846
2.4662763333,0.8351734117,0.5945304318,0.4054695682,1.4662763333,0.8089391216
1.9450649238,0.9864814059,0.4858783438,0.5141216562,0.9450649238,1.4204815938
